"House of Wax","Charles Belden","Jaume Collet-Serra","Elisha Cuthbert"
"Kissing Jessica Stein","Heather Juergensen","Charles Herman-Wurmfeld","Jennifer Westfeldt"
"A Knight's Tale","Brian Helgeland","Brian Helgeland","Heath Ledger"
"Knock Off"," de","Hark Tsui","Van"
"Kontroll"," "," ",""
"Kundun","Melissa Mathison","Martin Scorsese","Thuthob"
"Kung Pow: Enter the Fist","Steve Oedekerk","Steve Oedekerk","Steve Oedekerk"
"L.A. Confidential","James Ellroy","Curtis Hanson","Kevin Spacey"
"Labyrinth","Jim Henson","Jim Henson","David Bowie"
"Lady and the Tramp","Don DaGradi","Clyde Geronimi","Peggy Lee"
"The Lady from Shanghai","William Castle","Orson Welles","Rita Hayworth"
"Lady in White","Frank LaLoggia","Frank LaLoggia","Lukas Haas"
"Ladyhawke","Edward Khmara","Richard Donner","Matthew Broderick"
"The Ladykillers","Ethan Coen","Ethan Coen","Tom Hanks"
"The Lair of the White Worm","Ken Russell","Ken Russell","Amanda Donohoe"
"Lake Placid","David Kelley","Steve Miner","Bill Pullman"
"The Land Before Time","Judy Freudberg","Don Bluth","Pat Hingle"
"Lara Croft Tomb Raider: The Cradle of Life"," de"," de","Angelina Jolie"
"Lara Croft: Tomb Raider","Michael Colleary","Simon West","Angelina Jolie"
"Lashou shentan"," "," ",""
"Last Action Hero","David Arnott","John McTiernan","Arnold Schwarzenegger"
"The Last Broadcast","Stefan Avalos","Stefan Avalos","David Beard"
"The Last Castle","David Scarpa","Rod Lurie","Robert Redford"
"The Last Dragon","Louis Venosta","Michael Schultz","Taimak"
"The Last Emperor","Bernardo Bertolucci","Bernardo Bertolucci","John Lone"
"The Last House on the Left","Wes Craven","Wes Craven","Sandra Peabody"
"Last Man Standing","Walter Hill","Walter Hill","Bruce Willis"
"Last Orders","Fred Schepisi","Fred Schepisi","Michael Caine"
"The Last Picture Show","Peter Bogdanovich","Peter Bogdanovich","Timothy Bottoms"
"The Last Samurai","Marshall Herskovitz","Edward Zwick","Ken Watanabe"
"The Last Seduction","Steve Barancik","John Dahl","Linda Fiorentino"
"The Last Starfighter","Jonathan Betuel","Nick Castle","Kay Kuter"
"The Last Temptation of Christ","Nikos Kazantzakis","Martin Scorsese","Willem Dafoe"
"The Last of the Mohicans","John Balderston","Michael Mann","Daniel Day-Lewis"
"Latter Days","C. Cox","C. Cox","Steve Sandvoss"
"Lawn Dogs","Naomi Wallace","John Duigan","Mischa Barton"
"The Lawnmower Man","Gimel Everett","Brett Leonard","Jeff Fahey"
"Lawrence of Arabia","Robert Bolt","David Lean","Peter O'Toole"
"Laws of Attraction"," Brosh","Peter Howitt","Pierce Brosnan"
"The League of Extraordinary Gentlemen","Alan Moore","Stephen Norrington","Sean Connery"
"A League of Their Own","Kelly Candaele","Penny Marshall","Tom Hanks"
"Leaving Las Vegas","Mike Figgis","Mike Figgis","Nicolas Cage"
"Legal Eagles","Jim Cash","Ivan Reitman","Robert Redford"
"Legally Blonde","Amanda Brown","Robert Luketic","Reese Witherspoon"
"Legally Blonde 2: Red  White & Blonde","Eve Ahlert","Charles Herman-Wurmfeld","Reese Witherspoon"
"Legend","William Hjortsberg","Ridley Scott","Tom Cruise"
"The Legend of Bagger Vance","Jeremy Leven","Robert Redford","Will Smith"
"Legends of the Fall","Jim Harrison","Edward Zwick","Brad Pitt"
"La Leggenda del pianista sull'oceano"," "," ",""
"Legionnaire","Sheldon Lettich","Peter MacDonald","Van"
"Lemony Snicket's A Series of Unfortunate Events","Robert Gordon","Brad Silberling","Jim Carrey"
"Leprechaun","Mark Jones","Mark Jones","Warwick Davis"
"Leprechaun 2","Mark Jones","Rodman Flender","Warwick Davis"
"Lethal Weapon","Shane Black","Richard Donner","Mel Gibson"
"Lethal Weapon 4","Shane Black","Richard Donner","Mel Gibson"
"Levity","Ed Solomon","Ed Solomon","Billy Thornton"
"Liar Liar","Paul Guay","Tom Shadyac","Jim Carrey"
"Liberty Stands Still","Kari Skogland","Kari Skogland","Tanya Allen"
"Licence to Kill","Ian Fleming","John Glen","Timothy Dalton"
"License to Drive","Neil Tolkin","Greg Beeman","Corey Haim"
"Life"," "," ",""
"The Life Aquatic with Steve Zissou","Wes Anderson","Wes Anderson","Bill Murray"
"A Life Less Ordinary","John Hodge","Danny Boyle","Holly Hunter"
"Life as a House","Mark Andrus","Irwin Winkler","Kevin Kline"
"Life of Brian","Graham Chapman","Terry Jones","Graham Chapman"
"The Life of David Gale","Charles Randolph","Alan Parker","Kate Winslet"
"Lifeforce","Michael Armstrong","Tobe Hooper","Steve Railsback"
"Light It Up","Craig Bolotin","Craig Bolotin","Usher Raymond"
"Light Sleeper","Paul Schrader","Paul Schrader","Willem Dafoe"
"Like Mike","Michael Elliot","John Schultz","Shad Moss"
"Lilies of the Field","William Barrett","Ralph Nelson","Sidney Poitier"
"Lilo & Stitch","Dean DeBlois","Dean DeBlois","Daveigh Chase"
"Limbo","John Sayles","John Sayles","Mary Mastrantonio"
"The Limey","Lem Dobbs","Steven Soderbergh","Terence Stamp"
"The Lion King","J.T. Allen","Roger Allers","Matthew Broderick"
"Lionheart","Sheldon Lettich","Sheldon Lettich","Van"
"The List of Adrian Messenger","Alec Coppel","John Huston","Tony Curtis"
"Little Black Book","Elisa Bell","Nick Hurran","Brittany Murphy"
"Little Nicky","Steven Brill","Steven Brill","Adam Sandler"
"Little Odessa","James Gray","James Gray","Tim Roth"
"Little Shop of Horrors","Howard Ashman","Frank Oz","Levi Stubbs"
"The Little Shop of Horrors","Roger Corman","Roger Corman","Jonathan Haze"
"Little Women","Louisa Alcott","George Cukor","Katharine Hepburn"
"Live and Let Die","Ian Fleming","Guy Hamilton","Roger Moore"
"The Living Daylights","Ian Fleming","John Glen","Timothy Dalton"
"Living Out Loud","Richard LaGravenese","Richard LaGravenese","Holly Hunter"
"The Lizzie McGuire Movie","Ed Decter","Jim Fall","Hilary Duff"
"Loaded Weapon 1","Don Holley","Gene Quintano","Emilio Estevez"
"Logan's Run","David Goodman","Michael Anderson","Michael York"
"Lolita","Stanley Kubrick","Stanley Kubrick","James Mason"
"Lolita","Vladimir Nabokov","Adrian Lyne","Jeremy Irons"
"Lone Star","John Sayles","John Sayles","Stephen Mendillo"
"Lone Wolf McQuade","H. Dyal","Steve Carver","Chuck Norris"
"The Long Kiss Goodnight","Shane Black","Renny Harlin","Geena Davis"
"The Long Riders","Bill Bryden","Walter Hill","David Carradine"
"The Longest Day","Romain Gary","Ken Annakin","Eddie Albert"
"Look Who's Talking","Amy Heckerling","Amy Heckerling","John Travolta"
"Looney Tunes: Back in Action","Larry Doyle","Joe Dante","Brendan Fraser"
"The Lord of the Rings","Peter Beagle","Ralph Bakshi","Christopher Guard"
"The Lord of the Rings: The Fellowship of the Ring","Philippa Boyens","Peter Jackson","Alan Howard"
"The Lord of the Rings: The Return of the King","Philippa Boyens","Peter Jackson","Noel Appleby"
"The Lord of the Rings: The Two Towers","Philippa Boyens","Peter Jackson","Bruce Allpress"
"Loser","Amy Heckerling","Amy Heckerling","Jason Biggs"
"Losin' It","Bryan Gindoff","Curtis Hanson","Tom Cruise"
"Losing Isaiah","Naomi Foner","Stephen Gyllenhaal","Jessica Lange"
"The Loss of Sexual Innocence","Mike Figgis","Mike Figgis","Julian Sands"
"Lost Highway","Barry Gifford","David Lynch","Bill Pullman"
"Lost Horizon","Sidney Buchman","Frank Capra","Ronald Colman"
"Lost Souls","Pierce Gardner","Janusz Kaminski","Winona Ryder"
"The Lost Weekend","Charles Brackett","Billy Wilder","Ray Milland"
"The Lost World: Jurassic Park","Michael Crichton","Steven Spielberg","Jeff Goldblum"
"Lost in Space","Irwin Allen","Stephen Hopkins","William Hurt"
"Lost in Translation","Sofia Coppola","Sofia Coppola","Scarlett Johansson"
"A Lot Like Love","Colin Lynch","Nigel Cole","Amanda Peet"
"Love & Basketball","Gina Prince-Bythewood","Gina Prince-Bythewood","Glenndon Chatman"
"The Love Letter","Maria Maggenti","Peter Chan","Kate Capshaw"
"Love Liza","Gordy Hoffman","Todd Louiso","Philip Hoffman"
"Love Stinks","Jeff Franklin","Jeff Franklin","French Stewart"
"Love Story","Erich Segal","Arthur Hiller","Ali MacGraw"
"Love and Death","Woody Allen","Woody Allen","Woody Allen"
"Love and Other Catastrophes","Helen Bandis","Emma-Kate Croghan","Matt Day"
"Love in the Afternoon","Claude Anet","Billy Wilder","Gary Cooper"
"Love's Labour's Lost","Kenneth Branagh","Kenneth Branagh","Alessandro Nivola"
"Lovely & Amazing","Nicole Holofcener","Nicole Holofcener","Troy Ruptash"
"Lucky Break","Ronan Bennett","Peter Cattaneo","James Nesbitt"
"Lucky Numbers","Adam Resnick","Nora Ephron","John Travolta"
"Los Lunes al sol"," "," ",""
"MASH","Richard Hooker","Robert Altman","Donald Sutherland"
"Mackenna's Gold","Heck Allen"," Lee","Gregory Peck"
"Mad City","Tom Matthews","Costa-Gavras","John Travolta"
"Mad Max","Byron Kennedy","George Miller","Mel Gibson"
"Made","Jon Favreau","Jon Favreau","Jon Favreau"
"Madonna: Truth or Dare"," ","Alek Keshishian","Madonna"
"The Magnificent Ambersons","Joseph Cotten","Fred Fleck","Joseph Cotten"
"Magnolia","Paul Anderson","Paul Anderson","Pat Healy"
"Maid in Manhattan","John Hughes","Wayne Wang","Jennifer Lopez"
"The Majestic","Michael Sloane","Frank Darabont","Jim Carrey"
"Major League","David Ward","David Ward","Tom Berenger"
"Malcolm X","Alex Haley","Spike Lee","Denzel Washington"
"Malibu's Most Wanted","Fax Bahr","John Whitesell","Jamie Kennedy"
"Mallrats","Kevin Smith","Kevin Smith","Shannen Doherty"
